id;prix
1;3.9916044494
2;2.7964913624
3;22.2122624479
4;35.9855242193
5;172.555886419
6;23.2604706245
7;1.89573972195
8;420.663927077
9;16.7756887623
10;8.00420225206
11;3.2538765751
12;5.58728470218
13;12.5629840054
14;6.30400682731
15;19.7540358295
16;219.30642136
17;3.24053621119
18;7.16880654041
19;3.91575157358
20;4.91471862073
21;10.0467664052
22;1.58445116051
23;23.9409826217
24;9.70282638136
25;5.98851820737
26;5.42373053186
27;3.15597974433
28;10.4630156628
29;13.0154187989
30;2.85104591554
31;9.54285493568
32;10.122093512
33;5.10418563093
34;15.0677397094
35;7.51819351087
36;3.56660870834
37;47.334653633
38;24.6882189663
39;15.4275581985
40;112.695375486
41;5.96598182208
42;18.375307484
43;1.68565249497
44;8.67591308728
45;2.64028273487
46;4.36104801933
47;32.9491060189
48;7.96122881695
49;13.2275207235
50;7.63370864262
51;6.5698268434
52;6.32071148797
53;4.65104445182
54;13.358217188
55;142.660888979
56;4.40864079253
57;5.15536348609
58;6.30796668903
59;4.36290081961
60;15.5534963941
61;7.6850934511
62;232.631777584
63;5.8493815886
64;5.5375790959
65;6.71513881513
66;1.50888680732
67;9.51243879576
68;9.51243879576
69;25.0710897047
70;9.56576851634
71;1.50477575105
72;15.27357044
73;5.25501789997
74;8.17156309578
75;2.9089784922
76;9.51076515105
77;7.09236388035
78;2.28951865977
79;9.86006034037
80;7.5074520312
81;66.0856347783
82;7.21494587196
83;14.1432818085
84;5.86210603702
85;7.71385361579
86;36.3616683403
87;2.3142834389
88;7.58722312311
89;7.2178940116
90;18.3292260135
91;22.2495167627
92;1.99832460526
93;27.9843443055
94;1.73300757571
95;6.45380592996
96;8.51244272307
97;89.5355175404
98;10.8934056955
99;1.14053610085
100;43.3734784208
101;4.01369700645
102;35.2107984227
103;107.933368445
104;2.68065103106
105;4.951301387
106;5.7757023612
107;3.48913183698
108;20.3894860496
109;6.08257367578
110;8.28614677656
111;1.85294604148
112;5.0911558359
113;18.8042002793
114;5.23236817381
115;1.46273284088
116;18.3354259704
117;2.97329269324
118;2.47586377278
119;6.32784398795
120;1.67380891786
121;22.9043831567
122;1.83996057069
123;26.4774053608
124;156.767946734
125;4.32153238837
126;17.0257853214
